"Product Identifier"|"Product Name"|"Product Price"|"Product Images"|"Product Video"|"Product PDF"|"Product Features"|"Dates of Reviews"
sp12369|"ICON® - Suspension System Lift Kit"|"$1,009.75 - $10,624.75"|https://www.carid.com/images/icon-vehicle-dynamics/items/k78304.jpg,https://www.carid.com/images/icon-vehicle-dynamics/suspension-systems/k93055.jpg,https://www.carid.com/images/icon-vehicle-dynamics/suspension-systems/k26001.jpg,https://www.carid.com/images/icon-vehicle-dynamics/suspension-systems/k212502.jpg,https://www.carid.com/images/icon-vehicle-dynamics/items/k78304-2.jpg,https://www.carid.com/images/icon-vehicle-dynamics/items/k78304-4.jpg,https://www.carid.com/images/icon-vehicle-dynamics/items/k78304-3.jpg,https://www.carid.com/images/icon-vehicle-dynamics/items/k78304-5.jpg,https://www.carid.com/images/icon-vehicle-dynamics/items/k93054-6.jpg,https://www.carid.com/images/icon-vehicle-dynamics/items/k78304-7.jpg,https://www.carid.com/images/icon-vehicle-dynamics/items/k78304-8.jpg,https://www.carid.com/images/icon-vehicle-dynamics/items/k78304-9.jpg,https://www.carid.com/images/icon-vehicle-dynamics/items/k78304-10.jpg,https://www.carid.com/images/icon-vehicle-dynamics/items/k78304-11.jpg,https://www.carid.com/images/icon-vehicle-dynamics/items/k78304-12.jpg,https://www.carid.com/images/icon-vehicle-dynamics/items/k78304-13.jpg,https://www.carid.com/images/icon-vehicle-dynamics/items/k78304-18.jpg,https://www.carid.com/images/icon-vehicle-dynamics/items/k78304-19.jpg,https://www.carid.com/images/icon-vehicle-dynamics/items/k78304-20.jpg,https://www.carid.com/images/icon-vehicle-dynamics/items/k78304-21.jpg,https://www.carid.com/images/icon-vehicle-dynamics/items/k93054-7.jpg,https://www.carid.com/images/icon-vehicle-dynamics/suspension-systems/k53072-2.jpg,https://www.carid.com/images/icon-vehicle-dynamics/suspension-systems/k22002-2.jpg,https://www.carid.com/images/icon-vehicle-dynamics/suspension-systems/k93051-2.jpg,https://www.carid.com/images/icon-vehicle-dynamics/suspension-systems/k93055-7.jpg,https://www.carid.com/images/icon-vehicle-dynamics/suspension-systems/k93055-6.jpg,https://www.carid.com/images/icon-vehicle-dynamics/items/k212512a-4.jpg,https://www.carid.com/images/icon-vehicle-dynamics/items/k93055-8.jpg,https://www.carid.com/images/icon-vehicle-dynamics/items/k212511-3.jpg,https://www.carid.com/images/icon-vehicle-dynamics/items/k53075-2.jpg,https://www.carid.com/images/icon-vehicle-dynamics/items/k53093-2.jpg,https://www.carid.com/images/icon-vehicle-dynamics/authorized-dealer.jpg|https://www.carid.com/videosglobal/icon-vehicle-dynamics/items/video/2018-king-of-the-hammers-camp-icon_1080p.mp4|https://www.carid.com/images/icon-vehicle-dynamics/info/pdf/catalog.pdf,https://www.carid.com/images/brands/made-in-usa.pdf|"Increased wheel travel and ride quality over stock with no change in towing capacity[:os:]Vehicle specific tuned shocks for superior shock damping and control[:os:]Precision engineered for your vehicle[:os:]Tested to outperform all comparable products on the market[:os:]Made from premium materials to endure years of abuse[:os:]Improves your vehicle's handling[:os:]Designed for perfect fit and function[:os:]Proudly made in the United States"|04-20-2017,06-21-2015,08-08-2014
sp10472|"Pro Comp® - Suspension Complete Lift Kit"|"$258.99 - $3,735.99"|https://www.carid.com/images/pro-comp/performance-suspension/k4189b-2.jpg,https://www.carid.com/images/pro-comp/items/k1141b.jpg,https://www.carid.com/images/pro-comp/items/k1142b.jpg,https://www.carid.com/images/pro-comp/items/k1044b.jpg,https://www.carid.com/images/pro-comp/items/k4144b.jpg,https://www.carid.com/images/pro-comp/items/k1095b.jpg,https://www.carid.com/images/pro-comp/items/k1008.jpg,https://www.carid.com/images/pro-comp/items/k5056b.jpg,https://www.carid.com/images/pro-comp/performance-suspension/k4143bmx.jpg,https://www.carid.com/images/pro-comp/items/k1051bp.jpg,https://www.carid.com/images/pro-comp/items/k5080b.jpg,https://www.carid.com/images/pro-comp/performance-suspension/k2085b.jpg,https://www.carid.com/images/pro-comp/performance-suspension/k5067b.jpg,https://www.carid.com/images/pro-comp/performance-suspension/k5050b.jpg,https://www.carid.com/images/pro-comp/performance-suspension/k1048bmx.jpg,https://www.carid.com/images/pro-comp/performance-suspension/k1109b.jpg,https://www.carid.com/images/pro-comp/performance-suspension/k4051b.jpg,https://www.carid.com/images/pro-comp/info/shock-option.jpg,https://www.carid.com/images/pro-comp/performance-lift-kits/dodge-ram.jpg,https://www.carid.com/images/pro-comp/performance-lift-kits/ford-f150.jpg,https://www.carid.com/images/pro-comp/performance-lift-kits/k6005b-3.jpg,https://www.carid.com/images/pro-comp/performance-lift-kits/toyota-tundra.jpg,https://www.carid.com/images/pro-comp/performance-lift-kits/chevy-silverado.jpg,https://www.carid.com/images/pro-comp/performance-lift-kits/dodge-ram-2.jpg,https://www.carid.com/images/pro-comp/items/jeep-wrangler.jpg,https://www.carid.com/images/pro-comp/items/ford-f150-19.jpg,https://www.carid.com/images/pro-comp/items/chevy-silverado-2.jpg,https://www.carid.com/images/pro-comp/authorized-dealer.jpg|https://www.carid.com/videosglobal/pro-comp/info/video/2013-ram-3500-6in-suspension_720p.mp4|https://www.carid.com/images/brands/made-in-usa.pdf|"Monotube coilovers were designed and tuned to improve drivability, on road ride quality and handle aggressive off-road terrain with ease[:os:]High strength extended steering knuckles ensure correct alignment, no CV axle bind and minimal toe change[:os:]High clearance one-piece cross-members and compression struts are engineered to last and get through the toughest obstacles[:os:]Rear block and add-a-leaf combination minimizes axle wrap and helps maintain towing capacity"|06-22-2017
sp3759|"KSport® - Kontrol Pro™ Coilover Kit"|"$783.00 - $2,700.00"|https://www.carid.com/images/ksport/suspension-systems/kontrol-pro-coilover-kit.jpg,https://www.carid.com/images/ksport/items/chd140-kp.jpg,https://www.carid.com/images/ksport/items/chd360-kp.jpg,https://www.carid.com/images/ksport/items/chd030-kp.jpg,https://www.carid.com/images/ksport/suspension-systems/kontrol-pro-coilover-kit-2.jpg,https://www.carid.com/images/ksport/suspension-systems/kontrol-pro-coilover-kit-3.jpg,https://www.carid.com/images/ksport/suspension-systems/kontrol-pro-coilover-kit-4.jpg,https://www.carid.com/images/ksport/suspension-systems/kontrol-pro-coilover-kit-5.jpg,https://www.carid.com/images/ksport/suspension-systems/kontrol-pro-coilover-kit-6.jpg,https://www.carid.com/images/ksport/items/chd140-kp-3.jpg,https://www.carid.com/images/ksport/items/chd140-kp-4.jpg,https://www.carid.com/images/ksport/items/chd360-kp-3.jpg,https://www.carid.com/images/ksport/items/chd020-kp-3.jpg,https://www.carid.com/images/ksport/items/chd360-kp-4.jpg,https://www.carid.com/images/ksport/items/chd020-kp-4.jpg,https://www.carid.com/images/ksport/items/chd140-kp-2.jpg,https://www.carid.com/images/ksport/items/chd360-kp-2.jpg,https://www.carid.com/images/ksport/items/chd030-kp-3.jpg,https://www.carid.com/images/ksport/authorized-dealer.jpg|https://www.carid.com/videosglobal/ksport/suspension-systems/video/product-feature_720p.mp4|https://www.carid.com/images/ksport/suspension-systems/pdf/coilover-installation-instructions.pdf,https://www.carid.com/images/brands/made-in-usa.pdf|empty|04-25-2018,04-03-2018,03-23-2018,03-20-2018,02-17-2018,02-02-2018,01-31-2018,01-04-2018,12-19-2017,11-29-2017,11-11-2017,11-08-2017,11-08-2017,11-07-2017,10-21-2017,10-11-2017,09-30-2017,08-25-2017,06-02-2017,05-18-2017,05-17-2017,05-04-2017,04-29-2017,04-28-2017,04-27-2017,04-22-2017,04-20-2017,04-13-2017,04-01-2017,03-22-2017,03-16-2017,03-11-2017,01-25-2017,01-06-2017,12-25-2016,12-06-2016,11-24-2016,11-22-2016,11-04-2016,09-29-2016,09-24-2016,09-17-2016,09-15-2016,09-11-2016,08-18-2016,08-13-2016,07-09-2016,06-29-2016,05-25-2016,04-27-2016,04-20-2016,04-13-2016,03-25-2016,03-13-2016,02-04-2016,11-21-2015,07-25-2015,05-27-2015,05-10-2015,04-10-2015,04-10-2015,04-09-2015,03-08-2015,02-16-2015,01-31-2015,11-08-2014,10-10-2014,09-20-2014,07-29-2014,04-25-2014,01-07-2014,09-09-2013
sp113542|"Fabtech® - Budget Suspension Lift Kit"|"$651.00 - $2,562.00"|https://www.carid.com/images/fabtech/performance-lift-kits/k1060.jpg,https://www.carid.com/images/fabtech/performance-lift-kits/k1055.jpg,https://www.carid.com/images/fabtech/performance-lift-kits/k2181.jpg,https://www.carid.com/images/fabtech/performance-lift-kits/k1081.jpg,https://www.carid.com/images/fabtech/performance-lift-kits/k2181m.jpg,https://www.carid.com/images/fabtech/items/ford-super-duty-2017-4inch-system.jpg,https://www.carid.com/images/fabtech/items/k1056dl-3.jpg,https://www.carid.com/images/fabtech/authorized-dealer.jpg|https://www.carid.com/videosglobal/fabtech/info/videos/project-power-storm-burnout_720p.mp4|https://www.carid.com/images/fabtech/info/pdfs/catalog.pdf,https://www.carid.com/images/brands/made-in-usa.pdf|"Value priced system with Fabtech quality[:os:]Increased ground clearance[:os:]Includes Dirt Logic Coilovers for superior damping[:os:]Extended range upper ball joints provide a smooth quiet ride[:os:]Increased fender clearance compared to a Leveling Kit for 33” tall tires[:os:]Suspension can be restored to stock[:os:]Easy installation"|empty
sp1607|"Air Lift® - Performance Air Suspension Combo Kit"|"$450.00 - $1,200.00"|https://www.carid.com/images/air-lift/suspension-systems/78610.jpg,https://www.carid.com/images/air-lift/suspension-systems/75623.jpg,https://www.carid.com/images/air-lift/suspension-systems/78621.jpg,https://www.carid.com/images/air-lift/suspension-systems/78526.jpg,https://www.carid.com/images/air-lift/suspension-systems/75624.jpg,https://www.carid.com/images/air-lift/suspension-systems/95748.jpg,https://www.carid.com/images/air-lift/suspension-systems/77753.jpg,https://www.carid.com/images/air-lift/suspension-systems/77752.jpg,https://www.carid.com/images/air-lift/suspension-systems/77782.jpg,https://www.carid.com/images/air-lift/suspension-systems/95786.jpg,https://www.carid.com/images/air-lift/suspension-systems/95751.jpg,https://www.carid.com/images/air-lift/suspension-systems/77787.jpg,https://www.carid.com/images/air-lift/suspension-systems/78639.jpg,https://www.carid.com/images/air-lift/suspension-systems/78638.jpg,https://www.carid.com/images/air-lift/items/air-springs-benefits.jpg,https://www.carid.com/images/air-lift/authorized-dealer.jpg|https://www.carid.com/videosglobal/air-lift/suspension-systems/video/mustang-motorstate-challenge-2011_720p.mp4|https://www.carid.com/images/air-lift/info/air-lift-catalog.pdf,https://www.carid.com/images/air-lift/info/air-suspension-benefits.pdf,https://www.carid.com/images/air-lift/info/pdf/ad-216-product-information.pdf,https://www.carid.com/images/air-lift/info/pdf/air-lift-application-guide.pdf,https://www.carid.com/images/air-lift/info/pdf/air-lift-product-information.pdf,https://www.carid.com/images/brands/made-in-usa.pdf|"Air bag spring supports are available for factory coil springs and leaf spring designs[:os:]Air compressors are available in standard strength for intermittent weekend use or heavy-duty strength for regular daily use[:os:]Air path configurations are available to raise left and right springs together equally, or individually[:os:]Digital systems offer a wireless remote, automatic leveling, and self-diagnostics[:os:]Analog systems feature dial gauges with manual pushbutton adjustment[:os:]1,000 pound capacity air springs are available for lighter vehicles with coil springs[:os:]2,000- and 5,000-pound capacity air springs are available for ¾-ton and 1-ton pickups with leaf springs[:os:]Air spring supports prevent vehicle's main springs from sagging due to constant load compression[:os:]Maintains level ride height[:os:]Helps reduce bouncing at the rear of vehicle when towing[:os:]Manufactured in the United States"|09-28-2017
sp33232|"McGaughy's® - Basic Lift Kit"|"$610.72 - $2,575.65"|https://www.carid.com/images/mcgaughys/items/54327.jpg,https://www.carid.com/images/mcgaughys/items/50764.jpg,https://www.carid.com/images/mcgaughys/items/54346.jpg,https://www.carid.com/images/mcgaughys/items/57050.jpg,https://www.carid.com/images/mcgaughys/items/50761.jpg,https://www.carid.com/images/mcgaughys/items/57293.jpg,https://www.carid.com/images/mcgaughys/items/50765a.jpg,https://www.carid.com/images/mcgaughys/items/50761-4.jpg,https://www.carid.com/images/mcgaughys/items/57050-4.jpg,https://www.carid.com/images/mcgaughys/items/57050-2.jpg,https://www.carid.com/images/mcgaughys/items/50703-6.jpg,https://www.carid.com/images/mcgaughys/items/57050-5.jpg,https://www.carid.com/images/mcgaughys/items/50761-3.jpg,https://www.carid.com/images/mcgaughys/items/50764-5.jpg,https://www.carid.com/images/mcgaughys/performance-lift-kits/52305-2.jpg,https://www.carid.com/images/mcgaughys/items/54327-2.jpg,https://www.carid.com/images/mcgaughys/items/50703-2.jpg,https://www.carid.com/images/mcgaughys/items/50723-2.jpg,https://www.carid.com/images/mcgaughys/items/57050-6.jpg,https://www.carid.com/images/mcgaughys/items/50765a-2.jpg,https://www.carid.com/images/mcgaughys/items/50761-2.jpg,https://www.carid.com/images/mcgaughys/items/54330-2.jpg,https://www.carid.com/images/mcgaughys/items/54327-3.jpg,https://www.carid.com/images/mcgaughys/items/50703-3.jpg,https://www.carid.com/images/mcgaughys/items/57050-7.jpg,https://www.carid.com/images/mcgaughys/items/50703-5.jpg,https://www.carid.com/images/mcgaughys/items/50765a-3.jpg,https://www.carid.com/images/mcgaughys/items/57050-11.jpg,https://www.carid.com/images/mcgaughys/authorized-dealer.jpg|empty|https://www.carid.com/images/mcgaughys/items/pdf/mcgaughys-product-catalog.pdf,https://www.carid.com/images/brands/made-in-usa.pdf|"High quality at an affordable price[:os:]Expertly made from premium materials[:os:]Built to match your exact requirements"|empty
sp8466|"ReadyLIFT® - MLS™ Lift Kit"|"$1,390.96 - $2,117.96"|https://www.carid.com/images/readylift/suspension-systems/44-3057.jpg,https://www.carid.com/images/readylift/items/44-2175.jpg,https://www.carid.com/images/readylift/suspension-systems/44-3359.jpg,https://www.carid.com/images/readylift/suspension-systems/44-3150.jpg,https://www.carid.com/images/readylift/suspension-systems/44-3050.jpg,https://www.carid.com/images/readylift/suspension-systems/44-2575-k.jpg,https://www.carid.com/images/readylift/suspension-systems/26-3204.jpg,https://www.carid.com/images/readylift/items/chevy-2500-control-arm.jpg,https://www.carid.com/images/readylift/suspension-systems/26-2105.jpg,https://www.carid.com/images/readylift/items/chevy-2500-lift-kit-mount-2.jpg,https://www.carid.com/images/readylift/items/chevy-2500-leaf-spring-block.jpg,https://www.carid.com/images/readylift/items/chevy-2500-torsion-key.jpg,https://www.carid.com/images/readylift/items/chevy-2500-lift-kit-mount.jpg,https://www.carid.com/images/readylift/items/chevy-2500-8-inch-lift-kit-oncar-3.jpg,https://www.carid.com/images/readylift/items/chevy-2500-8-inch-lift-kit-oncar.jpg,https://www.carid.com/images/readylift/items/chevy-2500-8-inch-lift-kit-oncar-4.jpg,https://www.carid.com/images/readylift/items/44-2575-k-2.jpg,https://www.carid.com/images/readylift/items/44-2575-k-3.jpg,https://www.carid.com/images/readylift/items/44-2445-3.jpg,https://www.carid.com/images/readylift/items/chevy-2500-8-inch-lift-kit-oncar-2.jpg,https://www.carid.com/images/readylift/items/44-3355-2.jpg,https://www.carid.com/images/readylift/items/44-2475-5.jpg,https://www.carid.com/images/readylift/items/44-2445-4.jpg,https://www.carid.com/images/readylift/readylift-authorized-dealer.jpg|https://www.carid.com/videosglobal/readylift/items/video/readylift-chevy-silverado-gmc-sierra-1500-lift-kit-installation-tips_1080p.mp4|https://www.carid.com/images/brands/made-in-usa.pdf|"Improved ride quality and handling[:os:]Easy bolt-on installation[:os:]Includes hardware and bushings[:os:]Direct replacement of OEM shock package"|12-15-2016
sp115340|"Megan Racing® - Spec-RS Series Coilover Damper Kit"|"$1,399.00 - $1,599.00"|https://www.carid.com/images/megan-racing/items/mr-cdk-e46-rs.jpg,https://www.carid.com/images/megan-racing/items/mr-cdk-e46m3-rs.jpg,https://www.carid.com/images/megan-racing/items/mr-cdk-e36-rs.jpg,https://www.carid.com/images/megan-racing/items/mr-cdk-mle03-rs-2.jpg,https://www.carid.com/images/megan-racing/items/mr-cdk-ns14-rs-2.jpg,https://www.carid.com/images/megan-racing/items/mr-cdk-s2k-rs-2.jpg,https://www.carid.com/images/megan-racing/items/mr-cdk-ns13-rs-2.jpg,https://www.carid.com/images/megan-racing/items/mr-cdk-ae86-rs-2.jpg,https://www.carid.com/images/megan-racing/items/mr-cdk-sfr12-rs-2.jpg,https://www.carid.com/images/megan-racing/items/mr-cdk-e46-rs-2.jpg,https://www.carid.com/images/megan-racing/items/mr-cdk-hc14si-rs-2.jpg,https://www.carid.com/images/megan-racing/items/mr-cdk-ns13-rs-3.jpg,https://www.carid.com/images/megan-racing/items/mr-cdk-s2k-rs-3.jpg,https://www.carid.com/images/megan-racing/items/coilover-features.jpg,https://www.carid.com/images/megan-racing/items/mr-cdk-z34-rs-3.jpg,https://www.carid.com/images/megan-racing/authorized-dealer.jpg|https://www.carid.com/videosglobal/megan-racing/items/video/megan-racing-streets-of-long-beach_720p.mp4|https://www.carid.com/images/brands/made-in-usa.pdf|"Front Adjustable Camber Plates[:os:]Front and Rear Adjustable Ride-Height[:os:]Compression adjustment on external reservoir[:os:]Rebound adjustment on top of shock[:os:]All coil over damper kits come with 1 year manufacture-defect warranty[:os:]Made with quality and safety in mind[:os:]The highest grade materials and the latest technologies[:os:]Can help extend service intervals reducing costs and increasing convenience[:os:]Perfect solution for your motoring needs"|empty
sp113559|"Fabtech® - Performance Suspension Lift Kit"|"$559.60 - $4,345.14"|https://www.carid.com/images/fabtech/performance-lift-kits/k1015.jpg,https://www.carid.com/images/fabtech/performance-lift-kits/k3007.jpg,https://www.carid.com/images/fabtech/performance-lift-kits/k3037m.jpg,https://www.carid.com/images/fabtech/performance-lift-kits/k2095.jpg,https://www.carid.com/images/fabtech/items/k1021dl-2.jpg,https://www.carid.com/images/fabtech/items/k3084dl-3.jpg,https://www.carid.com/images/fabtech/items/k1113dl-2.jpg,https://www.carid.com/images/fabtech/items/k1073dl-5.jpg,https://www.carid.com/images/fabtech/items/k1113dl-4.jpg,https://www.carid.com/images/fabtech/items/k7002-2.jpg,https://www.carid.com/images/fabtech/items/k2108-2.jpg,https://www.carid.com/images/fabtech/items/k1117dl-4.jpg,https://www.carid.com/images/fabtech/items/k1005-2.jpg,https://www.carid.com/images/fabtech/items/k2008-2.jpg,https://www.carid.com/images/fabtech/items/k2004-2.jpg,https://www.carid.com/images/fabtech/items/k5000-2.jpg,https://www.carid.com/images/fabtech/authorized-dealer.jpg|https://www.carid.com/videosglobal/fabtech/info/videos/project-power-storm-burnout_720p.mp4|https://www.carid.com/images/fabtech/info/pdfs/catalog.pdf,https://www.carid.com/images/brands/made-in-usa.pdf|"Designed to provide a smooth and comfortable ride[:os:]Built to enhance your off-road capabilities[:os:]Made from road-touch materials to survive the test of time[:os:]Perfectly installed for the first time[:os:]1/4"" Thick High Arched Crossmembers[:os:]1/4"" Thick Differential Skid Plate[:os:]Ductile Iron Spindles[:os:]Impact Struts[:os:]Heavy Duty Tie Rods[:os:]Torsion Bar Mounts[:os:]Rear Add-a-leafs"|empty
sp2077|"Arnott® - Air to Coil Spring Conversion Kit"|"$152.15 - $1,735.69"|https://www.carid.com/images/arnott/suspension-systems/c-2278.jpg,https://www.carid.com/images/arnott/suspension-systems/c-2278-2.jpg,https://www.carid.com/images/arnott/suspension-systems/c-2721.jpg,https://www.carid.com/images/arnott/suspension-systems/c-2140.jpg,https://www.carid.com/images/arnott/suspension-systems/c-2718.jpg,https://www.carid.com/images/arnott/suspension-systems/c-2145.jpg,https://www.carid.com/images/arnott/suspension-systems/c-2529-2.jpg,https://www.carid.com/images/arnott/suspension-systems/c-2518-2.jpg,https://www.carid.com/images/arnott/suspension-systems/c-2278-4.jpg,https://www.carid.com/images/arnott/suspension-systems/c-2278-3.jpg,https://www.carid.com/images/arnott/authorized-dealer.jpg|https://www.carid.com/videosglobal/arnott/items/video/about-arnott-industries-and-arnott-air-suspension-replacement-products_1080p.mp4|https://www.carid.com/images/arnott/info/pdf/arnott-2018-catalog.pdf,https://www.carid.com/images/brands/made-in-usa.pdf|"Set coil springs and shock absorbers designed to bolt directly in place of existing air springs with no modifications necessary to your vehicle[:os:]Eliminate worry of failing air suspension parts which can leave you stranded with extremely costly repair bills[:os:]Black powder coat provides durable finish that is resistant to chips, corrosion, and paint flaking[:os:]Coil springs feature a variable spring rate that provides a softer, more comfortable ride that progresses to a firmer ride during aggressive driving or when vehicle load increases[:os:]Kit also includes a pair of OE equivalent replacement shocks[:os:]Depending on vehicle application, new rubber spring pads may be included for superior vibration dampening[:os:]Conversion kit does not come with any provisions to bypass and disable suspension warning lights once original equipment is removed[:os:]Manufactured in the United States[:os:]Arnott offers a limited lifetime warranty for all products"|04-04-2018,03-31-2018,12-23-2017,11-01-2017,03-24-2017,01-01-2017,12-03-2016,09-01-2016,06-22-2016,06-15-2016,05-01-2016,04-23-2016,03-07-2016,02-03-2016,12-12-2015,11-30-2015,11-21-2015,11-20-2015,07-09-2015,06-03-2015,06-03-2015,05-02-2015,02-17-2015,02-16-2015,01-14-2015,01-05-2015,12-10-2014,08-08-2013,03-20-2013
